float     FLOAT     Anahtar Kelime
a[100][100]    ID  Tanimlayici
,    Virgul          Ayristirici
b[100][100]    ID  Tanimlayici
,    Virgul          Ayristirici
c[100][100]    ID  Tanimlayici
;    Noktali_virgul  Ayristirici
int       INT       Anahtar Kelime
i    ID  Tanimlayici
,    Virgul          Ayristirici
j    ID  Tanimlayici
,    Virgul          Ayristirici
k    ID  Tanimlayici
;    Noktali_virgul  Ayristirici
int       INT       Anahtar Kelime
l    ID  Tanimlayici
;    Noktali_virgul  Ayristirici
i    ID  Tanimlayici
=     Atama   Operator
;    Noktali_virgul  Ayristirici
while     WHILE     Anahtar Kelime
(    Parantez_ac     Ayristirici
i    ID  Tanimlayici
<    Kucuk   Operator
)    SParantez_kapa  Ayristirici
{    SParantez_ac    Ayristirici
j    ID  Tanimlayici
=     Atama   Operator
;    Noktali_virgul  Ayristirici
while     WHILE     Anahtar Kelime
(    Parantez_ac     Ayristirici
j    ID  Tanimlayici
<    Kucuk   Operator
)    SParantez_kapa  Ayristirici
{    SParantez_ac    Ayristirici
if        IF        Anahtar Kelime
(    Parantez_ac     Ayristirici
!   Degil   Operator
(    Parantez_ac     Ayristirici
c    ID  Tanimlayici
[    KParantez_ac    Ayristirici
i    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
[    KParantez_ac    Ayristirici
j    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
==    Esit    Operator
)    SParantez_kapa  Ayristirici
)    SParantez_kapa  Ayristirici
c    ID  Tanimlayici
[    KParantez_ac    Ayristirici
i    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
[    KParantez_ac    Ayristirici
j    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
=     Atama   Operator
;    Noktali_virgul  Ayristirici
k    ID  Tanimlayici
=     Atama   Operator
;    Noktali_virgul  Ayristirici
while     WHILE     Anahtar Kelime
(    Parantez_ac     Ayristirici
k    ID  Tanimlayici
<    Kucuk   Operator
)    SParantez_kapa  Ayristirici
{    SParantez_ac    Ayristirici
c    ID  Tanimlayici
[    KParantez_ac    Ayristirici
i    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
[    KParantez_ac    Ayristirici
j    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
=     Atama   Operator
c    ID  Tanimlayici
[    KParantez_ac    Ayristirici
i    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
[    KParantez_ac    Ayristirici
j    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
+    Arti    Operator
a    ID  Tanimlayici
[    KParantez_ac    Ayristirici
i    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
[    KParantez_ac    Ayristirici
k    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
*    Carpma  Operator
b    ID  Tanimlayici
[    KParantez_ac    Ayristirici
k    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
[    KParantez_ac    Ayristirici
j    ID  Tanimlayici
]    KParantez_kapa  Ayristirici
;    Noktali_virgul  Ayristirici
k    ID  Tanimlayici
=     Atama   Operator
k    ID  Tanimlayici
+    Arti    Operator
;    Noktali_virgul  Ayristirici
}    SParantez_kapa  Ayristirici
j    ID  Tanimlayici
=     Atama   Operator
j    ID  Tanimlayici
+    Arti    Operator
;    Noktali_virgul  Ayristirici
}    SParantez_kapa  Ayristirici
i    ID  Tanimlayici
=     Atama   Operator
i    ID  Tanimlayici
+    Arti    Operator
;    Noktali_virgul  Ayristirici
}    SParantez_kapa  Ayristirici
